field;header;format
_min_num_fields;-;10
channel_name;Canal;str
date;Data;%d-%m-%Y
time;Hora;%H:%M
original_title;Programa;has_year_season_and_episode_at_the_end
session_audio_language;VD (VERSÃO DOBRADA) -VO(VERSÃO ORIGINAL) - OP (ORIGINAL EM PT);str
year;Ano;int
age_classification;Classificação;str
subgenre;Genero;str
duration;Duração;%H:%M
audio_languages;Idioma;str
countries;País;str
localized_episode_synopsis;Sinopse;str
directors;Realizador;str
cast;Cast;str
localized_title;Epg programme name;has_year_season_and_episode_at_the_end
original_episode_title;Título Episódio;str
season;Temporada;season_starts_with_T
episode;Episódio;int
premiere;Estreia;str
specials;Especiais;str
code;Cód. Titulo;int
