field;header;format
_min_num_fields;-;10
date;DATE;%d/%m/%Y
time;Start Time;%H:%M
cat_time;Cat Time;%H:%M
original_title;Programme Title;has_year_season_at_the_end
localized_title;Portuguese Title;str
age_classification;PG Rating;str
censorship_codes;Censorship Codes;
website_synopsis;Website Synopsis;str
localized_synopsis;EPG Synopsis;str
mobile_synopsis;Mobile Synopsis;str
original_episode_title;Episode Title;str
episode;Episode Number;int
season;Season Number;int
total_episodes;Number of episodes in the Season;int
start_of_season;Start of Season;
end_of_season;End of Season;
theme;Theme;
live;Live;
year;Year Of Release;int
cast;Actors;str
directors;Director/s;str
creators;Creators;str
awards;Awards;str
hi_subtitles;HI Subtitles;str
subtitles;Subtitles;str
premiere;Premiere;str
highlight;Highlight;str
change_alert;Change Alert;
format;16:9 Format (widescreen);str
hd;High Definition;str
dolby_digital;Dolby Digital;str
stereo;Stereo;str
surround;Surround Sound;str
