field;header;format
_min_num_fields;-;10
channel_name;Canal;str
date;Data;%d-%m-%Y
time;Hora;%H:%M
original_title;Programa;has_year
year;Ano;int
age_classification;Classificação;str
subgenre;Genero;str
duration;Duração;%H:%M
audio_languages;Idioma;str
countries;País;str
localized_synopsis;Sinopse;str
directors;Realizador;str
cast;Cast;str
localized_title;Epg programme name;str
session_audio_language;VD (VERSÃO DOBRADA) -VO(VERSÃO ORIGINAL) - OP (ORIGINAL EM PT);str
premiere;Estreia;str
specials;Especiais;str
code;Cód. Titulo;int
