field;header;format
_min_num_fields;-;5
event_code;Event Code;int
date;Day of Broadcast;%d/%m/%Y
utc_time;Portugal;%H:%M
time;Actual Start Time;%H:%M
turkey_time;Turkey;%H:%M
duration;Slot Duration;%H:%M
series_code;Series Code;int
original_title;Original Series Name;season_at_the_end
season;Season;int
episode;Episode Number;int
original_episode_title;Original Ep. Title;int
subgenre_english;Genre;str
year;Year of Production;int
countries;Country of Origin;str
age_classification;Certificate;str
synopsis_english;Synopsis;str
premiere;Premiere;Premiere
date;DATA;%d/%m/%Y
time;HORA;%H:%M
original_title;SÉRIE;season_at_the_end
season;TEMPORADA;int
episode;N.º EPISÓDIO;int
original_episode_title;EPISÓDIO;int
year;ANO;int
age_classification;PG RATING;str
synopsis_english;SINOPSE;str
