field;column;format
_temporary_program;-1;FECHO DE EMISSÃO
date;0;%d/%m/%Y
time;1;%H:%M
cat_time;2;%H:%M
cat_time_2;3;%H:%M
original_title;4;has_year
localized_title;5;str
age_classification;6;str
censorship_codes;7;
website_synopsis;8;str
localized_synopsis;9;str
mobile_synopsis;10;str
original_episode_title;11;str
localized_episode_title;12;str
episode;13;int
season;14;int
total_episodes;15;int
start_of_season;16;
end_of_season;17;
theme;18;
live;19;
year;20;int
cast;21;str
directors;22;str
creators;23;str
awards;24;str
hi_subtitles;25;str
subtitles;26;str
premiere;27;str
highlight;28;str
change_alert;29;str
format;30;str
high_definition;31;str
dolby_digital;32;str
stereo;33;bool
surround_sound;34;str
series_code;35;str
duration;36;%H:%M
series_alt_title;37;str
